263254.43133921095,-30148.972852692677,-30803.861208163282,-30286.600336780222,-29623.45040986225
216549.7033488523,-31021.843424213715,-30760.248064108324,-30103.81566741889,-30046.05198216589
202520.38251860853,-30653.642855111837,-30818.21052055604,-30353.865454267696,-30177.873118454885
202136.12578547705,-30718.433090448256,-30923.015608202957,-30328.069348535344,-30177.26988307477
202423.78808296513,-29743.25867283861,-30928.85290782925,-30473.126833799393,-30049.511265154873
202318.62388616317,-30718.537964169198,-30846.086655348317,-30293.8569027285,-30297.88832437208
202467.24659077032,-30575.41338216207,-30874.40333858056,-30481.023804333963,-30037.277758190194
202842.3828629373,-30633.00488511207,-30965.466792791092,-30252.62085714987,-30118.59019391561
202772.3065077837,-30755.375907857546,-30914.658339223337,-30256.82880828224,-30135.57831928769
202173.54591414327,-30360.351082765883,-30970.38907772935,-30348.64919523202,-30040.28409917038
